,modType,Params,Hidden_Layers,GridSize,Error
148,KAN,1860,3,4.0,114014746.78486602
149,MLP,2320,3,,118637531.28749791
150,KAN,4950,3,11.0,104554600.83138864
151,MLP,755,1,,182726190.15563965
152,KAN,1458,1,9.0,116424738.6657528
153,MLP,2392,5,,119434913.01593482
154,KAN,2064,5,4.0,173532774.83647084
155,MLP,485,2,,120443534.04459278
156,KAN,3753,2,9.0,117501047.19448532
157,MLP,2075,4,,128075014.60269763
158,KAN,8694,4,14.0,135464130.48228958
159,MLP,2745,4,,122428116.93012854
160,MLP,1065,3,,125184114.28580704
161,KAN,2880,3,8.0,116347232.98251402
162,MLP,2071,3,,122265079.04519072
163,KAN,2250,3,5.0,116769247.45579731
164,MLP,932,2,,122523524.44869484
165,KAN,3006,2,6.0,118149600.7162191
166,MLP,1963,3,,131476258.76876934
167,KAN,7161,3,11.0,115893593.40646313
168,MLP,3545,3,,111105330.27069439
169,KAN,5940,3,11.0,109753178.47362168
170,MLP,726,1,,111295346.71801916
171,KAN,1296,1,8.0,117589964.04551849
172,MLP,1262,3,,110368504.56891307
173,KAN,2880,3,5.0,125468167.2489295
174,MLP,745,2,,124335893.58667326
175,KAN,3006,2,6.0,115903536.83518252
176,MLP,855,3,,433693118.15881044
177,KAN,4320,3,9.0,187828460.59476644
178,MLP,3709,5,,112879576.85362612
179,KAN,6216,5,8.0,104200835.93646866
180,MLP,3969,4,,119454355.06630664
181,KAN,3090,4,10.0,113067672.63754535
182,MLP,1184,2,,130152004.5838737
183,KAN,4509,2,9.0,116248484.54678312
184,MLP,1951,3,,124200865.73638129
185,KAN,4050,3,9.0,115493894.89948538
186,MLP,610,1,,120728562.67797486
187,KAN,1944,1,12.0,117946447.24119104
188,MLP,2405,3,,122251227.06521189
189,MLP,4035,3,,152873934.37148437
190,KAN,5280,3,11.0,111839877.98647746
191,MLP,813,1,,119200182.59899417
192,KAN,1296,1,8.0,117517347.64875555
193,MLP,4894,6,,117409168.56937367
194,MLP,2507,5,,113696256.08392468
195,KAN,5778,5,9.0,156317690.22441462
196,MLP,1121,2,,140128043.5088154
197,KAN,5328,2,16.0,117447373.76298216
198,MLP,1959,3,,126415058.07848823
199,KAN,4752,3,8.0,164722323.66631323
200,MLP,1725,3,,144016114.8954143
201,KAN,5220,3,10.0,128957124.11429544
202,MLP,2854,5,,116014387.4291262
203,MLP,1667,3,,130741819.47684221
204,KAN,3348,3,9.0,280839205.1869438
205,MLP,1801,2,,128471168.63868989
206,KAN,2997,2,9.0,116266063.35381705
207,MLP,4078,3,,138235425.26238778
208,KAN,5022,3,9.0,126576031.30407022
209,MLP,1089,3,,134665451.98171577
210,KAN,5580,3,10.0,130241081.53451887
211,MLP,1464,2,,142556322.18702912
212,KAN,2664,2,8.0,139376306.08282107
213,MLP,2414,4,,131621349.70094094
214,KAN,5724,4,12.0,117231547.65331274
215,MLP,2107,3,,131210281.38338739
216,KAN,5760,3,12.0,117723847.19173491
217,MLP,2777,3,,121894389.62597112
218,KAN,4950,3,11.0,158345892.06086957
219,MLP,2037,4,,128509800.54296033
220,KAN,4830,4,10.0,119610509.84592532
221,MLP,650,2,,133626351.8323894
222,KAN,3753,2,9.0,132033275.98605464
223,MLP,610,1,,119585926.28701888
224,KAN,1296,1,8.0,117526233.02181704
225,MLP,2168,3,,127344079.87077516
226,KAN,4950,3,10.0,136390207.8185254
227,MLP,2196,3,,121993905.23578598
228,KAN,2604,3,7.0,117546988.41585395
229,MLP,4669,3,,123269056.91895473
230,KAN,5400,3,10.0,137435212.94308442
231,MLP,1951,3,,113301782.86914329
232,KAN,4950,3,10.0,125375886.29562753
233,MLP,731,3,,114718342.67558272
234,KAN,6300,3,10.0,123960868.98895414
235,MLP,1351,2,,118463393.6620946
236,KAN,4662,2,14.0,114261048.75373651
237,MLP,2469,3,,144398504.3322634
238,KAN,5040,3,14.0,116001677.48958509
239,MLP,1457,2,,130298226.47650084
240,KAN,3336,2,8.0,114398002.59754778
241,MLP,2159,2,,130078731.83184619
242,KAN,417,2,1.0,125401931.99629295
243,MLP,1214,2,,128754794.90509889
244,KAN,2997,2,9.0,116970646.71749863
245,MLP,1785,3,,120479543.40729852
246,KAN,3600,3,8.0,115995956.84015068
247,MLP,871,1,,132368161.16757096
248,KAN,1620,1,10.0,117450478.72584727
249,MLP,1688,3,,128107870.16269673
250,KAN,4320,3,8.0,113200043.18590346
251,MLP,1499,3,,117260712.23568605
252,KAN,2160,3,6.0,125467456.96707056
253,MLP,2305,2,,122811673.72572629
254,KAN,3996,2,12.0,116469526.59757614
255,MLP,1170,2,,110553187.6944017
256,KAN,1998,2,6.0,117510483.86900517
257,MLP,2997,3,,117255748.78763188
258,KAN,7488,3,13.0,138082219.01495397
259,MLP,1895,2,,115628121.7168459
260,KAN,3330,2,10.0,117486133.46217571
261,MLP,1425,3,,126427206.95878392
262,KAN,744,3,2.0,119879570.61166479
263,MLP,3635,4,,131706833.15407157
264,KAN,6444,4,12.0,115964700.1317599
265,MLP,3071,4,,120470765.95333648
266,KAN,3645,4,9.0,123494380.72173913
267,MLP,2453,5,,116109121.91934659
268,MLP,1943,3,,141264287.01940566
269,KAN,3600,3,8.0,115199746.98598137
270,MLP,2265,3,,133762711.32817791
271,KAN,2976,3,8.0,138675015.16864395
272,MLP,2707,3,,138116247.13883504
273,KAN,6045,3,13.0,110544041.74052611
274,MLP,1622,2,,121144829.06823733
275,KAN,5010,2,10.0,124984026.22332382
276,MLP,1817,2,,129648830.09413767
277,KAN,4008,2,8.0,118845762.6539974
278,MLP,1625,2,,134140651.69867279
279,KAN,2988,2,12.0,116919389.76967204
280,MLP,3145,5,,118097865.25127685
281,KAN,7020,5,12.0,120017999.43089597
282,MLP,1755,4,,126643968.55799673
283,KAN,6864,4,8.0,115284411.21754427
284,MLP,1859,2,,120084190.82842757
285,KAN,3753,2,9.0,117456444.66182414
286,MLP,1431,3,,129301351.38502394
287,KAN,3072,3,8.0,117035883.87946317
288,MLP,3195,3,,127327200.59575498
289,KAN,3255,3,7.0,130172731.6540993
290,MLP,1449,2,,120414867.94507895
291,KAN,5010,2,10.0,133421261.32564475
292,MLP,1037,3,,107197064.99032038
293,KAN,4950,3,11.0,116359588.28194726
294,MLP,1390,3,,129710363.07837687
295,KAN,2232,3,4.0,119278088.34118487
296,MLP,4954,5,,126035561.25499655
297,KAN,1338,5,2.0,113066038.45744923
298,MLP,1295,4,,125465400.4620086
299,KAN,6105,4,11.0,117493756.0083231
300,MLP,1635,4,,126368422.86644685
301,KAN,3075,4,5.0,125976614.62564883
302,MLP,2391,3,,109229227.14002798
303,KAN,2232,3,4.0,140987744.69588828
304,MLP,5109,4,,136510500.74585304
305,KAN,4632,4,8.0,122065542.24126233
306,MLP,1298,2,,125584507.1048147
307,KAN,2505,2,5.0,120210500.59507151
308,MLP,2071,3,,117388172.46172461
309,KAN,3255,3,5.0,111788330.50037403
310,MLP,1854,3,,109591077.13361585
311,KAN,5940,3,11.0,117486526.43116057
312,MLP,2891,4,,147991296.3364451
313,KAN,3006,4,6.0,121682513.5649702
314,MLP,3075,3,,158241227.64443028
315,KAN,2325,3,5.0,116039069.79124153
316,MLP,744,2,,129560563.55736583
317,KAN,5265,2,9.0,117834456.21416016
318,MLP,3143,3,,124922936.884449
319,KAN,4092,3,11.0,115624805.90438862
320,MLP,3540,4,,111896508.69340074
321,KAN,3834,4,6.0,126947504.68773223
322,MLP,899,2,,123715353.43174818
323,KAN,6012,2,12.0,118527306.46490142
324,MLP,4108,4,,139368080.87187442
325,KAN,3696,4,7.0,120360066.83619748
326,MLP,2754,4,,142870002.05895105
327,KAN,639,4,1.0,114440186.27063954
328,MLP,2261,3,,131684134.38340743
329,KAN,5850,3,13.0,115263996.04658392
330,MLP,2991,4,,109979794.25016803
331,KAN,5544,4,11.0,125739421.31848174
332,MLP,1269,4,,121648677.46430328
333,KAN,5220,4,12.0,116262626.73532777
334,MLP,2287,3,,119940091.55547978
335,KAN,3564,3,6.0,111732533.667283
336,MLP,2485,4,,140668913.5406398
337,KAN,2295,4,5.0,118403041.71859471
338,MLP,2115,2,,126440801.68943459
339,KAN,2241,2,9.0,268893919.7844949
340,MLP,932,2,,129570755.97846696
341,KAN,2925,2,5.0,117291055.43893434
342,MLP,1940,4,,115310109.77967496
343,KAN,7602,4,14.0,117296543.98463978
344,MLP,1619,2,,124207948.49290323
345,KAN,4509,2,9.0,112683915.98993926
346,MLP,1791,3,,122897511.01969151
347,KAN,4608,3,12.0,117639756.07307255
348,MLP,1653,2,,132363442.41538171
349,KAN,4587,2,11.0,113741476.61979197
350,MLP,1821,2,,126632175.89030214
351,KAN,3336,2,8.0,125503088.03681275
352,MLP,2623,3,,138657958.63743803
353,KAN,5400,3,10.0,118402504.8675624
354,MLP,1709,3,,121434254.68113022
355,KAN,4032,3,7.0,121879930.44593988
356,MLP,1966,3,,117124703.15673077
357,KAN,7560,3,12.0,522002304.7772734
358,MLP,891,3,,126073027.34950262
359,KAN,3840,3,10.0,110985124.31635825
360,MLP,3874,5,,121261107.5923703
361,KAN,6270,5,10.0,115730702.15368062
362,MLP,1643,4,,135165662.78445378
363,MLP,3068,4,,127385819.03137621
364,KAN,4932,4,12.0,117534635.18708025
365,MLP,378,1,,114920166.06145342
366,KAN,2106,1,13.0,115896029.54632229
367,MLP,4251,4,,134571072.10635418
368,KAN,4995,4,9.0,140479891.8563084
369,MLP,813,1,,126025605.73945512
370,KAN,1296,1,8.0,117487847.66710915
371,MLP,2025,2,,130285911.69438832
372,KAN,2919,2,7.0,7009198079.852552
373,MLP,3350,5,,119415418.84065087
374,KAN,5280,5,10.0,115951153.43452421
375,MLP,3974,4,,127795184.98819964
376,KAN,5370,4,10.0,338652563.00806683
377,MLP,1466,4,,118826949.1493277
378,KAN,3885,4,7.0,112419827.98902582
379,MLP,4482,4,,157160100.56359458
380,KAN,5868,4,12.0,142088025.46467254
381,MLP,3158,3,,123805213.54452883
382,KAN,2304,3,4.0,112976409.5043234
383,MLP,1450,3,,123908529.7312973
384,KAN,1980,3,4.0,127537183.19197543
385,MLP,1902,4,,129385738.59426473
386,KAN,3270,4,10.0,265358226.2506233
387,MLP,2291,2,,127621856.00388455
388,KAN,3753,2,9.0,122016097.47579856
389,MLP,2069,3,,123837611.42519104
390,KAN,2880,3,8.0,116040194.80593933
391,MLP,935,2,,123244296.38898979
392,KAN,3663,2,11.0,116468194.45035006
393,MLP,1836,3,,137587736.9932519
394,KAN,4032,3,7.0,158671392.76471722
395,MLP,2076,3,,125102468.91920283
396,KAN,2232,3,4.0,144085406.15770137
397,MLP,2207,3,,128540630.9542926
398,KAN,6138,3,11.0,127519403.27320816
399,MLP,180,2,,117446049.99413286
400,KAN,5004,2,12.0,116487609.89552538
401,MLP,755,1,,136871352.57965025
402,KAN,1134,1,7.0,117515032.19313054
403,MLP,1939,3,,120095006.977341
404,KAN,2325,3,5.0,112637227.26237743
405,MLP,2783,3,,134045376.81127176
